Date,Close,High,Low,Open,Volume,Stock,Daily Return,Cumulative Return,Running_Max,Drawdown,MA20,MA50,MA200,Volatility_30D
2015-10-14,18.448949813842773,18.47594724964993,18.222852081846504,18.47594724964993,1215209,1180.SR,-0.005819400420240872,0.9991246805481696,1.2967893832034734,-0.22953974370146313,18.201930809020997,18.902835578918456,20.788417224884032,0.015304512699850234
2015-10-15,18.2667236328125,18.39158356445503,18.22285344001049,18.22285344001049,352455,1180.SR,-0.009877320002981582,0.9892560063555186,1.2967893832034734,-0.23714982620250302,18.190794658660888,18.83912311553955,20.78742527961731,0.014025075730046622
2015-10-18,18.44557762145996,18.560314160489884,18.222853903026433,18.222853903026433,1211937,1180.SR,0.009791246215943517,0.9989420554843464,1.2967893832034734,-0.2296805723249764,18.180670833587648,18.78566940307617,20.78732760429382,0.014052025201271101
2015-10-19,18.546810150146484,18.560308865548162,18.39157878495227,18.39157878495227,863071,1180.SR,0.0054881734128373605,1.0044244227142207,1.2967893832034734,-0.22545292572261832,18.18387622833252,18.741327056884767,20.79103343963623,0.013523170518545652
2015-10-20,18.516441345214844,18.644676585343234,18.39158142807613,18.560311532920863,680487,1180.SR,-0.001637413910305252,1.0027797641926182,1.2967893832034734,-0.2267211798762263,18.204292392730714,18.70076427459717,20.795411787033082,0.013342102789610694
2015-10-21,18.415205001831055,18.475947947382483,18.307217829141546,18.475947947382483,655319,1180.SR,-0.005467375803825947,0.9972971903733051,1.2967893832034734,-0.2309489857869821,18.23398885726929,18.656556930541992,20.797223100662233,0.013324705583157017
2015-10-22,18.091245651245117,18.391585091727777,17.969759745587233,18.30722002249967,654833,1180.SR,-0.01759194918295648,0.9797527888799527,1.2967893832034734,-0.24447809214811866,18.238207149505616,18.59952621459961,20.796178121566772,0.013688257783782954
2015-10-25,18.128366470336914,18.222854935843213,18.05412479754837,18.05412479754837,704873,1180.SR,0.002051866400323954,0.9817631107080791,1.2967893832034734,-0.24292786213068873,18.244281482696532,18.54701747894287,20.79531874656677,0.01355105946199835
2015-10-26,18.1047420501709,18.222852617024458,18.054122500200158,18.054122500200158,561503,1180.SR,-0.0013031742382675349,0.980483702314123,1.2967893832034734,-0.24391445903727016,18.24917459487915,18.496668434143068,20.79063175201416,0.012164937001866901
2015-10-27,17.8482723236084,18.05412328100608,17.716663032762977,18.05412328100608,2222181,1180.SR,-0.014165886807543826,0.9665942811704996,1.2967893832034734,-0.2546250812273687,18.255755138397216,18.443147239685057,20.784250240325928,0.012294701352152678
2015-10-28,17.885393142700195,17.969758204694063,17.547932894724717,17.63229795671859,813307,1180.SR,0.002079799009044425,0.968604602998626,1.2967893832034734,-0.2530748512099388,18.23972568511963,18.40082981109619,20.778054332733156,0.012153310366530674
