Stock,1180.SR,2010.SR,2222.SR,KSA
1180.SR,1.0,0.4782759832190977,0.2856040415307907,0.48570404521367144
2010.SR,0.4782759832190977,1.0,0.3795042392356938,0.5041546704778364
2222.SR,0.2856040415307907,0.3795042392356938,1.0,0.3769816682660863
KSA,0.48570404521367144,0.5041546704778364,0.3769816682660863,1.0
