Stock,Annual Return,Annual Volatility,Sharpe Ratio,Max Drawdown
1180.SR,0.11085429141927554,0.25457320864947164,0.43545152299161866,-0.5241990252556378
2010.SR,0.020996494188482102,0.21586493494526413,0.09726681266601306,-0.5730982735075927
2222.SR,0.027590918876149097,0.15018413875250997,0.1837139334774657,-0.2850102891380679
KSA,0.09677674365084889,0.201429201185507,0.4804504167284165,-0.4056135349953972
